,Corr.,Lasso,Linear reg,RF,RFE,Ridge,Stability,Mean
loan_amnt,0.11,0.0,0.0,0.47,0.09,0.0,0.0,0.1
term,0.97,0.51,0.0,0.54,0.36,0.25,0.0,0.38
emp_length,0.0,0.02,0.0,0.01,0.21,0.01,0.0,0.04
home_ownership,0.03,0.09,0.0,0.0,0.45,0.14,0.0,0.1
annual_inc,0.01,0.0,0.0,0.11,0.0,0.0,0.0,0.02
verification_status,0.28,0.61,0.0,0.02,0.52,0.4,0.0,0.26
purpose,0.0,0.0,0.0,0.01,0.58,0.0,0.0,0.08
addr_state,0.0,0.0,0.0,0.0,0.64,0.41,0.0,0.15
dti,0.01,0.0,0.0,0.0,0.39,0.02,0.0,0.06
delinq_2yrs,1.0,0.04,0.0,0.53,0.33,0.02,0.0,0.27
Risk_Score,0.24,0.61,0.0,0.08,0.48,0.33,0.0,0.25
inq_last_6mths,0.0,0.01,0.0,0.02,0.24,0.01,0.0,0.04
open_acc,0.01,0.0,0.0,0.04,0.03,0.0,0.0,0.01
revol_bal,0.32,0.01,0.0,0.05,0.18,0.0,0.0,0.08
revol_util,0.01,0.04,0.0,0.04,0.27,0.02,0.0,0.05
total_acc,0.02,0.0,0.0,0.01,0.15,0.0,0.0,0.03
mths_since_last_major_derog,0.11,0.0,0.0,0.32,0.06,0.0,0.0,0.07
funded_amnt_inv,0.13,0.05,0.0,1.0,0.12,0.02,0.0,0.19
installment,0.02,0.0,0.0,0.0,0.42,0.05,0.0,0.07
application_type,0.0,0.0,0.0,0.01,0.55,0.0,0.0,0.08
pub_rec,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.43
addr_state,0.0,0.0,0.0,0.0,0.64,0.41,0.0,0.15
